Ticker,Price,Shares,Avg Cost/Share,Day's Gain,Day's Gain (%),Total Gain,Total Gain (%),Yield (%),Market Value,Change,Change (%),Day Low,Day High,52wk Low,52wk High,Market Cap,Volume,Avg Volume,Mkt Time
HNST,2.93,50,2.73,0.678349,0.00342465,12.083235,0.06472931,0,198.756546,0.00999999,0.00342465,2.76,2.94,2.07,5.545,3.30E+08,2565271,2064077,1772830803000
ONDS,9.83,10,9.525,-8.587911,-0.0604989,2.760611,0.02113742,0,133.363603,-0.633,-0.0604989,9.76,11.61,0.57,15.28,4.42E+09,157355612,9.36E+07,1772830801000
COP-U.TO,11.12,15,11.74,-2.645567,-0.01155557,-12.14361,-0.05092917,0,226.297548,-0.13000011,-0.011555566,11.08,11.35,6.8,13.7,0,27147,57093,1772830794000
LUNR,17.63,25,10.783796,-1.35673,-0.00226377,215.392777,0.56301137,0,597.965472,-0.0400009,-0.00226378,17.26,19.15,6.135,23.315,2.51E+09,11520674,1.13E+07,1772830803000
AMZN.NE,24.64,60,16.5,-37.800064,-0.02493079,488.399963,0.4933333,0,1478.399963,-0.63000107,-0.02493079,24.57,25.04,19,28.76,3.10E+12,122433,198234,1772830691000
VISA.NE,29.13,20,23.25,-5,-0.00850919,117.599983,0.25290319,0.007,582.599983,-0.25,-0.00850919,28.84,29.15,28.27,35.23,8.47E+11,22400,31133,1772830599000
FBTC.TO,30.5,22,43.53909091,-35.639977,-0.05043583,-286.86,-0.29948009,0,671,-1.6199989,-0.050435834,30.34,31.06,28.13,58,0,75887,88940,1772830799000
META.NE,34.67,15,36.32,-12.300053,-0.0231052,-24.750027,-0.04542957,0.003,520.049973,-0.8200035,-0.0231052,34.3,34.85,23.23,40.73,2.28E+12,48832,122044,1772830769000
MDA.TO,40.43,5,27.34,-5.900002,-0.02835857,65.450002,0.47878567,0,202.150002,-1.1800003,-0.028358574,39.8,41.75,20.85,48.31,5.11E+09,887082,994363,1772830800000
GOOG.NE,48.04,25,31.426,-10.249996,-0.00846233,415.350023,0.52867056,0.004,1201.000023,-0.40999985,-0.0084623295,47.67,48.4,22.18,48.4,4.68E+12,39181,190934,1772830521000
WMT.NE,52.16,16,24.23,0.799988,9.59E-04,446.879998,1.15270325,0.0083,834.559998,0.049999237,9.59E-04,51.35,52.32,34.26,52.32,1.37E+12,35257,35925,1772830481000
L.TO,62.29,10,64.84,4.000015,0.0064631,-25.499991,-0.03932756,0.0091,622.900009,0.40000153,0.0064631045,61.53,62.88,45.475,69.59,7.30E+10,1877406,1406462,1772830800000
XUU.TO,66.94,42,61.36,-57.959885,-0.02019902,234.360103,0.09093876,0.0116,2811.480103,-1.3799973,-0.020199022,66.83,67.46,50.63,70.99,0,45421,39491,1772830799000
VXC.TO,73.27,32,67.4759375,-41.920166,-0.0175651,185.409893,0.08586852,0.0136,2344.639893,-1.3100052,-0.017565099,73.2,73.75,54.98998,77.6,0,37843,74931,1772830507000
ENB.TO,73.47,7,66.31571429,-1.119972,-0.00217297,50.080009,0.10788223,0.0528,514.290009,-0.15999603,-0.0021729735,72.99,74.08,56.51,74.39,1.60E+11,10091876,8440270,1772830801000
ASTS,89.475,10,34.72,-59.491296,-0.04671852,735.309401,1.53638258,0,1213.907254,-4.385,-0.0467185,89.47,100.33,18.22,129.89,3.40E+10,13526029,1.60E+07,1772830802000
DUOL,101.92,2,171.21875,1.031084,0.00374234,-196.974862,-0.41597601,0,276.549712,0.379997,0.00374234,98.925,102.105,91.99,544.93,4.79E+09,1971782,2593049,1772830803000
NLR,136.01,2,144.67,-9.306989,-0.02459847,-25.48873,-0.06460395,0.0214,369.049504,-3.43001,-0.0245985,135.3001,140.78,64.26,168.12,0,461157,627132,1772830800000
DOL.TO,193.63,3,185.62,-11.939987,-0.02014066,24.030015,0.0431527,0.0022,580.890015,-3.9799957,-0.02014066,192.38,197.38,147,209.96,5.30E+10,476317,660801,1772830800000
MSFT,408.96,1,427.42999,-2.333524,-0.00418818,-23.908477,-0.04131094,0.0089,554.835997,-1.72,-0.00418818,408.5101,413.05,344.79,555.45,3.04E+12,30792826,3.34E+07,1772830802000